nivel_territorial_cod,nivel_territorial_nome,unidade_medida_cod,unidade_medida_nome,valor,geo_cod,geo_nome,variavel_cod,variavel_nome,setor_cod,setor_nome,periodo_trimestral
1,Brasil,1550,Milhões de Reais,23083.02,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1996Q2
1,Brasil,1550,Milhões de Reais,26617.94,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90703,"Administração, saúde e educação públicas e seguridade social",1996Q2
1,Brasil,1550,Milhões de Reais,153730.56,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90705,Valor adicionado a preços básicos,1996Q2
1,Brasil,1550,Milhões de Reais,177662.72,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90707,PIB a preços de mercado,1996Q2
1,Brasil,1550,Milhões de Reais,113465.07,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93404,Despesa de consumo das famílias,1996Q2
1,Brasil,1550,Milhões de Reais,37220.27,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93405,Despesa de consumo da administração pública,1996Q2
1,Brasil,1550,Milhões de Reais,35344.87,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93406,Formação bruta de capital fixo,1996Q2
1,Brasil,1550,Milhões de Reais,12768.98,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93407,Exportação de bens e serviços,1996Q2
1,Brasil,1550,Milhões de Reais,16666.15,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93408,Importação de bens e serviços (-),1996Q2
1,Brasil,1550,Milhões de Reais,9000.4,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90687,Agropecuária - total,1996Q3
1,Brasil,1550,Milhões de Reais,43759.87,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90691,Indústria - total,1996Q3
1,Brasil,1550,Milhões de Reais,1090.03,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90692,Indústrias extrativas,1996Q3
1,Brasil,1550,Milhões de Reais,27891.33,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90693,Indústrias de transformação,1996Q3
1,Brasil,1550,Milhões de Reais,3851.35,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1996Q3
1,Brasil,1550,Milhões de Reais,11023.18,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90694,Construção,1996Q3
1,Brasil,1550,Milhões de Reais,106550.32,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90696,Serviços - total,1996Q3
1,Brasil,1550,Milhões de Reais,14311.13,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90697,Comércio,1996Q3
1,Brasil,1550,Milhões de Reais,5593.86,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90698,"Transporte, armazenagem e correio",1996Q3
1,Brasil,1550,Milhões de Reais,4000.24,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90699,Informação e comunicação,1996Q3
1,Brasil,1550,Milhões de Reais,16606.57,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90700,"Atividades financeiras, de seguros e serviços relacionados",1996Q3
1,Brasil,1550,Milhões de Reais,15611.64,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90702,Atividades imobiliárias,1996Q3
1,Brasil,1550,Milhões de Reais,23156.35,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1996Q3
1,Brasil,1550,Milhões de Reais,26751.43,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90703,"Administração, saúde e educação públicas e seguridade social",1996Q3
1,Brasil,1550,Milhões de Reais,159410.48,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90705,Valor adicionado a preços básicos,1996Q3
1,Brasil,1550,Milhões de Reais,183826.34,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90707,PIB a preços de mercado,1996Q3
1,Brasil,1550,Milhões de Reais,116544.03,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93404,Despesa de consumo das famílias,1996Q3
1,Brasil,1550,Milhões de Reais,38513.84,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93405,Despesa de consumo da administração pública,1996Q3
1,Brasil,1550,Milhões de Reais,36668.15,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93406,Formação bruta de capital fixo,1996Q3
1,Brasil,1550,Milhões de Reais,12708.91,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93407,Exportação de bens e serviços,1996Q3
1,Brasil,1550,Milhões de Reais,17880.17,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93408,Importação de bens e serviços (-),1996Q3
1,Brasil,1550,Milhões de Reais,11130.05,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90687,Agropecuária - total,1996Q4
1,Brasil,1550,Milhões de Reais,41087.1,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90691,Indústria - total,1996Q4
1,Brasil,1550,Milhões de Reais,1139.23,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90692,Indústrias extrativas,1996Q4
1,Brasil,1550,Milhões de Reais,25207.93,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90693,Indústrias de transformação,1996Q4
1,Brasil,1550,Milhões de Reais,3935.43,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1996Q4
1,Brasil,1550,Milhões de Reais,11007.49,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90694,Construção,1996Q4
1,Brasil,1550,Milhões de Reais,104242.94,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90696,Serviços - total,1996Q4
1,Brasil,1550,Milhões de Reais,14531.72,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90697,Comércio,1996Q4
1,Brasil,1550,Milhões de Reais,5385.16,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90698,"Transporte, armazenagem e correio",1996Q4
1,Brasil,1550,Milhões de Reais,3956.46,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90699,Informação e comunicação,1996Q4
1,Brasil,1550,Milhões de Reais,15270.6,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90700,"Atividades financeiras, de seguros e serviços relacionados",1996Q4
1,Brasil,1550,Milhões de Reais,15236.62,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90702,Atividades imobiliárias,1996Q4
1,Brasil,1550,Milhões de Reais,23031.85,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1996Q4
1,Brasil,1550,Milhões de Reais,26591.64,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90703,"Administração, saúde e educação públicas e seguridade social",1996Q4
1,Brasil,1550,Milhões de Reais,155581.67,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90705,Valor adicionado a preços básicos,1996Q4
1,Brasil,1550,Milhões de Reais,182461.78,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90707,PIB a preços de mercado,1996Q4
1,Brasil,1550,Milhões de Reais,122777.31,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93404,Despesa de consumo das famílias,1996Q4
1,Brasil,1550,Milhões de Reais,32691.69,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93405,Despesa de consumo da administração pública,1996Q4
1,Brasil,1550,Milhões de Reais,38230.65,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93406,Formação bruta de capital fixo,1996Q4
1,Brasil,1550,Milhões de Reais,13344.87,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93407,Exportação de bens e serviços,1996Q4
1,Brasil,1550,Milhões de Reais,19798.23,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93408,Importação de bens e serviços (-),1996Q4
1,Brasil,1550,Milhões de Reais,9009.92,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90687,Agropecuária - total,1997Q1
1,Brasil,1550,Milhões de Reais,43250.78,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90691,Indústria - total,1997Q1
1,Brasil,1550,Milhões de Reais,1150.18,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90692,Indústrias extrativas,1997Q1
1,Brasil,1550,Milhões de Reais,26099.84,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90693,Indústrias de transformação,1997Q1
1,Brasil,1550,Milhões de Reais,4003.73,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1997Q1
1,Brasil,1550,Milhões de Reais,11390.75,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90694,Construção,1997Q1
1,Brasil,1550,Milhões de Reais,106446.73,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90696,Serviços - total,1997Q1
